"id","title","author","field","isbn","publisher","publication_year","isavailable"
1524,Process Systems Analysis and Control,"Donald R. Coughanowr, Steven E. LeBlanc",Engineering,"9780073397897",McGraw-Hill Education,"2009",true
8142,Mechanics of Composite Materials,Robert M. Jones,Engineering,"9781560327129",CRC Press,"1998",true
6379,Foundations of Data Science,"Avrim Blum, John Hopcroft, Ravindran Kannan",Engineering,"9781108474246",Cambridge University Press,"2020",true
6154,Principles of Concurrent and Distributed Programming,M. Ben-Ari,Engineering,"9780321312839",Pearson,"2006",true
8963,Solar Energy Engineering: Processes and Systems,S. A. Kalogirou,Engineering,"9780123744933",Academic Press,"2009",true
2033,"Wind Energy Explained: Theory, Design and Application","J.F. Manwell, J.G. McGowan, A.L. Rogers",Engineering,"9780470013890",Wiley,"2009",true
1749,Introduction to Robotics: Mechanics and Control,John J. Craig,Engineering,"9780201543081",Pearson,"2005",true
8171,Feedback Control of Dynamic Systems,"Gene F. Franklin, J. David Powell, Abbas Emami-Naeini",Engineering,"9780133496598",Pearson,"2015",true
9439,Fundamentals of Geophysics,William Lowrie,Engineering,"9780521670591",Cambridge University Press,"2007",true
7424,Railway Track Engineering,J.S. Mundrey,Engineering,"9788174092042",McGraw-Hill India,"2011",true
3329,Pavement Design and Materials,"A.T. Papagiannakis, E.A. Masad",Engineering,"9780470292721",Wiley,"2008",true
9485,Engineering Hydrology,K. Subramanya,Engineering,"9780070669299",McGraw-Hill Education,"2017",true
7379,Building Construction,"W.B. McKay, H.W. Stone",Engineering,"9780582046187",Longman Scientific & Technical,"1991",true
5609,Water Supply and Wastewater Engineering,Terence J. McGhee,Engineering,"9780070449419",McGraw-Hill,"1991",true
1856,Gray's Anatomy for Students,"Richard L. Drake, A. Wayne Vogl, Adam W. M. Mitchell",Medicine,"9780323393041",Elsevier,"2019",true
2897,Guyton and Hall Textbook of Medical Physiology,John E. Hall,Medicine,"9780323597128",Elsevier,"2020",true
6724,Robbins Basic Pathology,"Vinay Kumar, Abul K. Abbas, Jon C. Aster",Medicine,"9780323353175",Elsevier,"2017",true
8355,Medical Biochemistry,"John W. Baynes, Marek H. Dominiczak",Medicine,"9780702072994",Elsevier,"2018",true
1552,Medical Microbiology,"Patrick R. Murray, Ken S. Rosenthal, Michael A. Pfaller",Medicine,"9780323673228",Elsevier,"2020",true
5389,Rang and Dale's Pharmacology,"James M. Ritter, Rod J. Flower, Graeme Henderson, Yoon Kong Loke, David MacEwan, Humphrey P. Rang",Medicine,"9780702074486",Elsevier,"2019",true
2872,Wheater's Functional Histology,"Barbara Young, Phillip Woodford, Geraldine O'Dowd",Medicine,"9780702054884",Elsevier,"2013",true
4747,The Developing Human: Clinically Oriented Embryology,"Keith L. Moore, T.V.N. Persaud, Mark G. Torchia",Medicine,"9780323611541",Elsevier,"2019",true
4090,Lippincott's Illustrated Reviews: Pharmacology,"Karen Whalen, Richard A. Harvey, Pamela C. Champe",Medicine,"9781496384110",Lippincott Williams & Wilkins,"2019",true
4178,Netter's Atlas of Human Anatomy,Frank H. Netter,Medicine,"9780323393225",Elsevier,"2018",true
9759,Macleod's Clinical Examination,"Graham Douglas, Fiona Nicol, Colin Robertson",Medicine,"9780702069925",Elsevier,"2024",true
8394,Kumar & Clark's Clinical Medicine,"Parveen Kumar, Michael Clark",Medicine,"9780702078675",Elsevier,"2020",true
6232,Davidson's Principles and Practice of Medicine,"Ian D. Penman, Anna R. Dover, R. Alastair Macpherson",Medicine,"9780702070228",Elsevier,"2022",true
2654,Oxford Handbook of Clinical Medicine,"Murray Longmore, Ian B. Wilkinson, Edward H. Penney, Alexander H. Cheung, Andrew T. Baldwin",Medicine,"9780198781493",Oxford University Press,"2017",true
9668,Harrison's Principles of Internal Medicine,"J. Larry Jameson, Anthony S. Fauci, Dennis L. Kasper, Stephen L. Hauser, Dan L. Longo, Joseph Loscalzo",Medicine,"9781259642921",McGraw-Hill Education,"2018",true
1162,Bailey & Love's Short Practice of Surgery,"Norman S. Williams, Christopher J.K. Bulstrode, P. Ronan O'Connell",Medicine,"9780367468165",CRC Press,"2018",true
5238,Nelson Textbook of Pediatrics,"Robert M. Kliegman, Joseph W. St. Geme",Medicine,"9780323529327",Elsevier,"2020",true
7647,Obstetrics by Ten Teachers,"Philip Baker, Louise Kenny",Medicine,"9781482258957",CRC Press,"2017",true
4643,Gynaecology by Ten Teachers,"Louise Kenny, Sir Sabaratnam Arulkumaran",Medicine,"9781482258926",CRC Press,"2017",true
1624,Diagnostic Imaging: Abdomen,"Jeffrey M. Federle, Alec J. Megibow, Barton F. Lane, Matthew A. Barish",Medicine,"9780323547840",Elsevier,"2018",true
3415,Clinical Dermatology,"Thomas P. Habif, James L. Campbell Jr., Dirk M. Elston, Jonathan L. Goldfarb, David M. Queen",Medicine,"9780323441940",Elsevier,"2016",true
6126,Goodman & Gilman's The Pharmacological Basis of Therapeutics,"Laurence L. Brunton, Björn C. Knollmann, Randa Hilal-Dandan",Medicine,"9781259584742",McGraw-Hill Education,"2017",true
3591,First Aid for the USMLE Step 1,"Tao Le, Vikas Bhushan, Matthew Sochat, Conard Fisher",Medicine,"9781260462616",McGraw-Hill Education,"2024",true
5110,The Washington Manual of Medical Therapeutics,"Jade S. Hiramoto, Alex W. Chin",Medicine,"9781975107931",Lippincott Williams & Wilkins,"2019",true
8177,Essentials of General Surgery,"Peter F. Lawrence, Richard L. Bell, Michael J. Sarap",Medicine,"9781259584674",McGraw-Hill Education,"2018",true
8630,Psychiatry,"Allan Tasman, Michael B. First, Michele H. Samuel",Medicine,"9781118124505",Wiley-Blackwell,"2012",true
3994,Basic & Clinical Pharmacology,"Bertram G. Katzung, Anthony J. Trevor",Medicine,"9781259641153",McGraw-Hill Education,"2018",true
6541,Ophthalmology,"Myron Yanoff, Jay S. Duker",Medicine,"9780323528719",Elsevier,"2019",true
6048,"Ear, Nose and Throat Surgery","P.M. Singh, V. Anand",Medicine,"9788131238691",Jaypee Brothers Medical Publishers,"2015",true
1320,Current Medical Diagnosis & Treatment,"Maxine A. Papadakis, Stephen J. McPhee, Michael W. Rabow",Medicine,"9781260455243",McGraw-Hill Education,"2024",true
2828,Emergency Medicine: A Comprehensive Study Guide,"Judith E. Tintinalli, J. Stephan Stapczynski, O. John Ma, Donald M. Yealy, Garth D. Meckler, David M. Cline",Medicine,"9780071794769",McGraw-Hill Education,"2020",true
7826,Family Medicine,"Mark B. Mengel, Sarah E. Holbrook, L. Peter Schwiebert",Medicine,"9780071764137",McGraw-Hill Education,"2012",true
1711,South African Health Review,"Various, Health Systems Trust",Medicine,"9781919839975",Health Systems Trust,"2023",true
2766,Principles of Neural Science,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell, Steven A. Siegelbaum, A.J. Hudspeth",Medicine,"9780071390118",McGraw-Hill Education,"2013",true
4320,Clinical Anatomy by Regions,Richard S. Snell,Medicine,"9781451190011",Lippincott Williams & Wilkins,"2019",true
6620,Histology: A Text and Atlas,"Michael H. Ross, Wojciech Pawlina",Medicine,"9781496383427",Lippincott Williams & Wilkins,"2020",true
8247,Medical Genetics,George H. Sack Jr.,Medicine,"9780071749875",McGraw-Hill Education,"2015",true
8938,Pathophysiology: The Biologic Basis for Disease in Adults and Children,"Kathryn L. McCance, Sue E. Huether",Medicine,"9780323583473",Elsevier,"2019",true
2414,Infectious Diseases,"Sherwood L. Gorbach, John G. Bartlett, Neil R. Blacklow",Medicine,"9781607951591",Lippincott Williams & Wilkins,"2004",true
7870,Medical Surgical Nursing: Concepts for Interprofessional Collaborative Care,"Donna D. Ignatavicius, M. Linda Workman, Laura E. Rebar, Nicole M. Heimgartner",Medicine,"9780323447157",Elsevier,"2018",true
5269,Clinical Psychology,"Timothy J. Trull, Michel Hersen",Medicine,"9781118128503",Wiley,"2013",true
2774,Epidemiology,Leon Gordis,Medicine,"9781455737338",Elsevier,"2014",true
2862,Public Health: What It Is and How It Works,Bernard J. Turnock,Medicine,"9781284112814",Jones & Bartlett Learning,"2019",true
2141,Principles of Medical Ethics,Robert M. Veatch,Medicine,"9780199732156",Oxford University Press,"2012",true
6877,Biostatistics: A Foundation for Analysis in the Health Sciences,"Wayne W. Daniel, Chad L. Cross",Medicine,"9781119290079",Wiley,"2019",true
9703,Dorland's Illustrated Medical Dictionary,Elsevier,Medicine,"9780323390712",Elsevier,"2021",true
7708,A Pocket Atlas of Human Anatomy,George D. Theodoridis,Medicine,"9780869680385",Juta,"2000",true
2014,Handbook of Family Medicine,Bob Mash,Medicine,"9780190429218",Oxford University Press Southern Africa,"2018",true
6239,Human Anatomy and Physiology,"Elaine N. Marieb, Katja Hoehn",Medicine,"9780134580266",Pearson,"2019",true
6993,Fundamentals of Nursing,"Patricia A. Potter, Anne G. Perry, Patricia Stockert, Amy Hall",Medicine,"9780323533607",Elsevier,"2017",true
6583,Introduction to Java Programming and Data Structures,Y. Daniel Liang,Information Technology,"9780134670945",Pearson,"2018",true
5295,Python Crash Course,Eric Matthes,Information Technology,"9781593276034",No Starch Press,"2019",true
7224,C++ Primer,"Stanley B. Lippman, Josee Lajoie, Barbara E. Moo",Information Technology,"9780321714114",Addison-Wesley Professional,"2012",true
2066,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Information Technology,"9780132350881",Pearson,"2008",true
7819,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",Information Technology,"9780262033848",MIT Press,"2009",true
6230,Cracking the Coding Interview,Gayle Laakmann McDowell,Information Technology,"9780984782857",CareerCup,"2016",true
1754,Head First Design Patterns,"Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra",Information Technology,"9780596007126",O'Reilly Media,"2004",true
5873,Automate the Boring Stuff with Python,Al Sweigart,Information Technology,"9781593275990",No Starch Press,"2015",true
5247,Database System Concepts,"Abraham Silberschatz, Henry F. Korth, S. Sudarshan",Information Technology,"9780073523326",McGraw-Hill Education,"2020",true
2035,"Database Systems: A Practical Approach to Design, Implementation, and Management","Thomas Connolly, Carolyn Begg",Information Technology,"9780132943260",Pearson,"2015",true
1176,"SQL in 10 Minutes, Sams Teach Yourself",Ben Forta,Information Technology,"9780672336072",Sams Publishing,"2013",true
1539,MySQL Crash Course,Ben Forta,Information Technology,"9780672327124",Sams Publishing,"2005",true
1882,Computer Networking: A Top-Down Approach,"James Kurose, Keith Ross",Information Technology,"9780133594140",Pearson,"2016",true
8592,CompTIA Network+ Study Guide,Todd Lammle,Information Technology,"9781119515941",Sybex,"2021",true
8484,Network Security Essentials: Applications and Standards,William Stallings,Information Technology,"9780134444285",Pearson,"2017",true
8006,Practical Packet Analysis: Using Wireshark to Solve Real-World Network Problems,Chris Sanders,Information Technology,"9781593278021",No Starch Press,"2017",true
1567,Operating System Concepts,"Abraham Silberschatz, Peter B. Galvin, Greg Gagne",Information Technology,"9781119320912",Wiley,"2018",true
3865,UNIX and Linux System Administration Handbook,"Evi Nemeth, Garth Snyder, Trent R. Hein, Ben Whaley",Information Technology,"9780131480056",Pearson,"2010",true
4993,Software Engineering: A Practitioner's Approach,"Roger S. Pressman, Bruce Maxim",Information Technology,"9781259872977",McGraw-Hill Education,"2019",true
1572,"Agile Software Development, Principles, Patterns, and Practices",Robert C. Martin,Information Technology,"9780135974441",Pearson,"2002",true
7904,Information Technology Project Management,Kathy Schwalbe,Information Technology,"9781337101660",Cengage Learning,"2018",true
1064,The Mythical Man-Month: Essays on Software Engineering,Frederick Brooks Jr.,Information Technology,"9780201835953",Addison-Wesley Professional,"1995",true
7232,HTML and CSS: Design and Build Websites,Jon Duckett,Information Technology,"9781118008188",John Wiley & Sons,"2011",true
7575,JavaScript: The Definitive Guide,David Flanagan,Information Technology,"9781449308250",O'Reilly Media,"2011",true
5020,Eloquent JavaScript,Marijn Haverbeke,Information Technology,"9781593279509",No Starch Press,"2018",true
7660,Learning React: A Hands-On Guide to Building Dynamic Web Applications,Kirupa Chinnathambi,Information Technology,"9780134848037",Pearson,"2018",true
1781,Node.js Design Patterns,"Mario Casciaro, Luciano Mammino",Information Technology,"9781617296116",Manning Publications,"2020",true
2775,Python for Data Analysis,Wes McKinney,Information Technology,"9781491957668",O'Reilly Media,"2017",true
4538,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,Information Technology,"9781492032649",O'Reilly Media,"2019",true
9451,Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",Information Technology,"9780136042594",Pearson,"2020",true
8585,Data Science from Scratch,Joel Grus,Information Technology,"9781491901425",O'Reilly Media,"2019",true
8720,Computer Security: Principles and Practice,"William Stallings, Lawrie Brown",Information Technology,"9780134794108",Pearson,"2018",true
5240,Introduction to Data Communications and Networking,Behrouz A. Forouzan,Information Technology,"9780073376229",McGraw-Hill Education,"2013",true
2927,Calculus: Early Transcendentals,James Stewart,Information Technology,"9781305267232",Cengage Learning,"2015",true
8299,Discrete Mathematics and Its Applications,Kenneth Rosen,Information Technology,"9780073383098",McGraw-Hill Education,"2018",true
6357,Computer Systems: A Programmer's Perspective,"Randal E. Bryant, David R. O'Hallaron",Information Technology,"9780136108047",Pearson,"2016",true
3359,"Compilers: Principles, Techniques, and Tools","Alfred Aho, Monica Lam, Ravi Sethi, Jeffrey Ullman",Information Technology,"9780321486790",Pearson,"2006",true
6948,Designing Data-Intensive Applications,Martin Kleppmann,Information Technology,"9781449373327",O'Reilly Media,"2017",true
1590,Effective Java,Joshua Bloch,Information Technology,"9780134685994",Addison-Wesley Professional,"2018",true
8216,Code Complete,Steve McConnell,Information Technology,"9780735619678",Microsoft Press,"2004",true
8323,Introduction to the Theory of Computation,Michael Sipser,Information Technology,"9781133613138",Cengage Learning,"2013",true
3957,The C Programming Language,"Brian W. Kernighan, Dennis M. Ritchie",Information Technology,"9780131103627",Pearson,"1988",true
4367,Data Mining: Concepts and Techniques,"Jiawei Han, Micheline Kamber, Jian Pei",Information Technology,"9780123814797",Elsevier,"2011",true
9943,Software Engineering,Ian Sommerville,Information Technology,"9780133943032",Pearson,"2016",true
4503,"Object-Oriented Software Engineering: Using UML, Patterns, and Java","Bernd Bruegge, Allen H. Dutoit",Information Technology,"9780134372168",Pearson,"2010",true
4444,Computer Graphics: Principles and Practice,"John F. Hughes, Andries van Dam, Morgan McGuire, David F. Sklar, James D. Foley, Steven K. Feiner, Kurt Akeley",Information Technology,"9780321399434",Addison-Wesley Professional,"2013",true
2213,"Cloud Computing: Concepts, Technology & Architecture","Thomas Erl, Ricardo Puttini, Zaigham Mahmood",Information Technology,"9780133387520",Pearson,"2013",true
5726,Introduction to Cryptography with Java Applets,David Bishop,Information Technology,"9780763722510",Jones & Bartlett Learning,"2003",true
1003,Fundamentals of Mobile and Pervasive Computing,"Frank Adelstein, Sandeep S. Gupta, Golden G. Richard III, Loren Schwiebert",Information Technology,"9780071415255",McGraw-Hill Professional,"2005",true
7813,Web Technologies: A Developer's Perspective,Gopalan Suresh Sugumar,Information Technology,"9788131730070",Pearson Education India,"2010",true
8429,Management,"Stephen P. Robbins, Mary Coulter",Commerce,"9780134527704",Pearson,"2018",true
2254,Business Management: A Contemporary Approach,"Gareth R. Jones, Jennifer M. George",Commerce,"9780077174620",McGraw-Hill Education,"2018",true
6088,Entrepreneurship and New Venture Management,"C. Nieuwenhuizen, T. Tselepis",Commerce,"9780627041914",Van Schaik Publishers,"2023",true
1484,Strategic Management: Concepts and Cases,"Fred R. David, Forest R. David, Meredith E. David",Commerce,"9780134167824",Pearson,"2017",true
8482,Organisational Behaviour,"Stephen P. Robbins, Timothy A. Judge",Commerce,"9781292146393",Pearson,"2017",true
4885,Financial Accounting: A Reporting Approach,"B. Kolitz, B. Berry, et al.",Commerce,"9780702187766",Juta,"2013",true
2237,About Financial Accounting,"A.P. Buys, D.C. du Plessis, et al.",Commerce,"9780627038754",Van Schaik Publishers,"2020",true
4963,Cost and Management Accounting,"M. Van Rensburg, L. Boyce, et al.",Commerce,"9780627031243",Van Schaik Publishers,"2017",true
4042,Auditing & Assurance Services,"Alvin A. Arens, Randal J. Elder, Mark S. Beasley, Chris E. Hogan",Commerce,"9780134443721",Pearson,"2017",true
2923,Introduction to Taxation in South Africa,"A. Steyn, L. Stiglingh, M. van Schalkwyk, et al.",Commerce,"9780627037139",Van Schaik Publishers,"2020",true
8923,Accounting Information Systems,James A. Hall,Commerce,"9781337670111",Cengage Learning,"2019",true
1758,Economics for South African Students,"P. Mohr, L. Fourie, et al.",Commerce,"9780627037054",Van Schaik Publishers,"2020",true
1006,Economics,"Paul A. Samuelson, William D. Nordhaus",Commerce,"9780073511446",McGraw-Hill Education,"2010",true
9415,Principles of Economics,N. Gregory Mankiw,Commerce,"9781305585126",Cengage Learning,"2017",true
6108,Macroeconomics,N. Gregory Mankiw,Commerce,"9781319097723",Worth Publishers,"2019",true
9957,Microeconomics,"Robert S. Pindyck, Daniel L. Rubinfeld",Commerce,"9780134167381",Pearson,"2018",true
7337,International Economics: Theory and Policy,"Paul R. Krugman, Maurice Obstfeld, Marc J. Melitz",Commerce,"9780134519921",Pearson,"2018",true
6326,Fundamentals of Corporate Finance,"Stephen A. Ross, Randolph W. Westerfield, Bradford D. Jordan",Commerce,"9781260091808",McGraw-Hill Education,"2019",true
5775,Corporate Finance,"Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe",Commerce,"9781260091877",McGraw-Hill Education,"2019",true
1778,Investments,"Zvi Bodie, Alex Kane, Alan J. Marcus",Commerce,"9781259277170",McGraw-Hill Education,"2017",true
1422,Financial Management,"C. Correia, et al.",Commerce,"9781485129585",Juta,"2019",true
7797,Principles of Risk Management and Insurance,"George E. Rejda, Michael McNamara",Commerce,"9780134082268",Pearson,"2017",true
5193,Principles of Marketing,"Philip Kotler, Gary Armstrong",Commerce,"9780134492651",Pearson,"2018",true
7305,Marketing Management,"Philip Kotler, Kevin Lane Keller",Commerce,"9780134098931",Pearson,"2016",true
3428,Consumer Behavior,"Leon G. Schiffman, Joseph L. Wisenblit",Commerce,"9781292269269",Pearson,"2019",true
2326,Integrated Marketing Communications,"George E. Belch, Michael A. Belch",Commerce,"9781260088150",McGraw-Hill Education,"2018",true
7510,Business Transactions Law,R.W. Sharrock,Commerce,"9780702186783",Juta,"2012",true
7206,Companies and Other Business Structures in South Africa,"F. Malan, J. Marx, et al.",Commerce,"9780702185397",Juta,"2012",true
6280,The Law of Contract in South Africa,"R.H. Christie, D.J. Joubert",Commerce,"9780409054707",LexisNexis,"2004",true
6842,A Practical Guide to Labour Law,J. Grogan,Commerce,"9781485133032",Juta,"2021",true
5009,Human Resource Management,"Gary Dessler, Denise Barkhuizen, Lynette Ferreira, Michelle du Plessis, Charmaine van Lill",Commerce,"9781292072128",Pearson,"2015",true
1234,Research Methodology for Business Students,"Mark Saunders, Philip Lewis, Adrian Thornhill",Commerce,"9781292209531",Pearson,"2019",true
6125,Statistics for Business and Economics,"James T. McClave, P. George Benson, Terry Sincich",Commerce,"9780134506501",Pearson,"2017",true
9982,Operations Management,"Jay Heizer, Barry Render, Chuck Munson",Commerce,"9780134130422",Pearson,"2017",true
6711,Introduction to Business Management,"Erasmus, Strydom, Rudansky-Klopper",Commerce,"9780190745769",Oxford University Press Southern Africa,"2022",true
2642,Global Marketing,"Warren J. Keegan, Mark C. Green",Commerce,"9780134898681",Pearson,"2017",true
7007,Managerial Economics,Dominick Salvatore,Commerce,"9780190864316",Oxford University Press,"2016",true
7950,Public Economics,"E. Calitz, A. Fourie, et al.",Commerce,"9780190412807",Oxford University Press Southern Africa,"2019",true
8001,Organisational Development and Change,"Thomas G. Cummings, Christopher G. Worley",Commerce,"9781305105676",Cengage Learning,"2015",true
8614,Leadership: Theory and Practice,Peter G. Northouse,Commerce,"9781506362311",SAGE Publications,"2019",true
1248,Financial Markets and Institutions,"Frederic S. Mishkin, Stanley G. Eakins",Commerce,"9780134731301",Pearson,"2018",true
5768,"Entrepreneurship: Theory, Process, Practice",Donald F. Kuratko,Commerce,"9781305574700",Cengage Learning,"2017",true
1510,South African Business Law,A.J. Kerr,Commerce,"9780409040331",LexisNexis,"2005",true
4467,Digital Marketing Strategy,Simon Kingsnorth,Commerce,"9780749480687",Kogan Page,"2019",true
2218,Principles of Supply Chain Management,"Richard E. Crandall, Laura M. Crandall, William J. Parnell",Commerce,"9781138198753",CRC Press,"2015",true
6609,"Negotiation: Readings, Exercises, and Cases","Roy J. Lewicki, Bruce Barry, David M. Saunders",Commerce,"9781260092140",McGraw-Hill Education,"2020",true
3200,Effective Business Communication,"Herta A. Murphy, Herbert W. Hildebrandt, Jane P. Thomas",Commerce,"9780073401768",McGraw-Hill Education,"2015",true
3839,International Business,"Charles W.L. Hill, G. Tomas Hult",Commerce,"9781259578116",McGraw-Hill Education,"2017",true
2471,Introduction to Financial Modelling,Trevor W. Pearsall,Commerce,"9780077134013",McGraw-Hill Education,"2017",true
2620,Consumer Behaviour: A South African Perspective,"Suzanne Hattingh, Nadia Barnard, Annatjie Esterhuyse",Commerce,"9780190412951",Oxford University Press Southern Africa,"2021",true
5867,"Peter Artedi: Reformer of 18th Century Zoology, vol II","Peter Artedi, Ichthyologia, Leiden 1738",Theology,"9789176352755",Stockholm University Press,"2025",true
3190,Anarchism and Religion: Exploring Definitions,"Alexandre Christoyannopoulos, Matthew S. Adams",Theology,"9789176350720",Stockholm University Press,"2018",true
3192,Gray's Anatomy,Henry Gray,Medicine,"978-0702052309",Elsevier,"2015",true
7179,The Emperor of All Maladies,Siddhartha Mukherjee,Medicine,"978-1439170915",Scribner,"2010",true
9372,Principles of Neural Science,"Eric R. Kandel, James H. Schwartz, Thomas M. Jessell",Medicine,"978-0071390118",McGraw-Hill Education,"2013",true
2136,Music Theory For Dummies,"Michael Pilhofer, Holly Day",Music,"978-1118995079",For Dummies,"2015",true
3760,This Is Your Brain On Music,Daniel J. Levitin,Music,"978-0452288519",Plume,"2007",true
2450,How Music Works,David Byrne,Music,"978-0812975005",McSweeney's,"2012",true
7967,Summa Theologica,Thomas Aquinas,Theology,"978-0870610639",Christian Classics,"1981",true
4115,Mere Christianity,C.S. Lewis,Theology,"978-0060652920",HarperOne,"2001",true
2566,The Confessions,Saint Augustine,Theology,"978-0199537822",Oxford University Press,"2008",true
9603,Principia Mathematica,Isaac Newton,Mathematics,"978-0521078720",Cambridge University Press,"1687",true
4670,Euclid's Elements,Euclid,Mathematics,"978-1521404094",Dover Publications,"2017",true
9228,Fermat's Last Theorem,Simon Singh,Mathematics,"978-0385493628",Fourth Estate,"1997",true
1151,When Breath Becomes Air,Paul Kalanithi,Medicine,"9780812988406",Random House,"2016",true
7852,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Medicine,"9781400052189",Crown,"2010",true
6945,Being Mortal,Atul Gawande,Medicine,"9780805095159",Metropolitan Books,"2014",true
8324,The Emperor of All Maladies,Siddhartha Mukherjee,Medicine,"9781439170915",Scribner,"2010",true
8442,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Medicine,"9780684853949",Touchstone,"1985",true
7682,The Body Keeps the Score,Bessel van der Kolk,Medicine,"9780143127741",Penguin Books,"2014",true
1558,Complications,Atul Gawande,Medicine,"9780312421700",Picador,"2002",true
